CCG19CD,CCG19NM,CTYUA19CD,CTYUA19NM,CCG_AREA_HA,CTYUA_AREA_HA,CCG_CTYUA_AREA_PROP,PCDS_IN_CCG,PCDS_IN_CTYUA,CCG_CTYUA_PCD_PROP
E38000103,NHS Mansfield and Ashfield CCG,E10000024,Nottinghamshire,17009.27232,208689.4713,0.08,4523,20378,0.22195505
E38000109,NHS Newark and Sherwood CCG,E10000024,Nottinghamshire,63146.90905,208689.4713,0.3,3467,20378,0.170134459
E38000133,NHS Nottingham North and East CCG,E10000024,Nottinghamshire,15640.00095,208689.4713,0.07,3391,20378,0.166404947
E38000134,NHS Nottingham West CCG,E10000024,Nottinghamshire,8007.322206,208689.4713,0.04,2515,20378,0.123417411
E38000142,NHS Rushcliffe CCG,E10000024,Nottinghamshire,40919.57744,208689.4713,0.2,2783,20378,0.136568849
E38000136,NHS Oxfordshire CCG,E10000025,Oxfordshire,252357.5187,260594.7801,0.97,20908,21428,0.975732686
E38000181,NHS Swindon CCG,E10000025,Oxfordshire,3001.678283,260594.7801,0.01,195,21428,0.009100243
E38000223,NHS Buckinghamshire CCG,E10000025,Oxfordshire,5223.494465,260594.7801,0.02,325,21428,0.015167071
E38000150,NHS Somerset CCG,E10000027,Somerset,351376.9983,351385.3744,1,19792,19792,1
E38000028,NHS Cannock Chase CCG,E10000028,Staffordshire,13371.95772,262331.4399,0.05,2942,22408,0.131292396
E38000053,NHS East Staffordshire CCG,E10000028,Staffordshire,47538.24699,262331.4399,0.18,3256,22408,0.145305248
E38000126,NHS North Staffordshire CCG,E10000028,Staffordshire,73845.16775,262331.4399,0.28,5853,22408,0.261201357
E38000173,NHS Stafford and Surrounds CCG,E10000028,Staffordshire,76539.36737,262331.4399,0.29,4440,22408,0.19814352
E38000175,NHS Stoke on Trent CCG,E10000028,Staffordshire,4826.461705,262331.4399,0.02,266,22408,0.01187076
E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,E10000028,Staffordshire,46180.4123,262331.4399,0.18,5651,22408,0.252186719
E38000063,NHS Great Yarmouth and Waveney CCG,E10000029,Suffolk,37446.53041,385357.4647,0.1,3572,24685,0.144703261
E38000086,NHS Ipswich and East Suffolk CCG,E10000029,Suffolk,225410.0592,385357.4647,0.58,14282,24685,0.578569982
E38000204,NHS West Suffolk CCG,E10000029,Suffolk,122414.101,385357.4647,0.32,6831,24685,0.276726757
E38000054,NHS East Surrey CCG,E10000030,Surrey,32393.1215,167007.2914,0.19,4856,33269,0.145961706
E38000118,NHS North East Hampshire and Farnham CCG,E10000030,Surrey,6534.134465,167007.2914,0.04,1479,33269,0.0444558
E38000128,NHS North West Surrey CCG,E10000030,Surrey,26192.02959,167007.2914,0.16,9422,33269,0.283206589
E38000177,NHS Surrey Downs CCG,E10000030,Surrey,40499.20468,167007.2914,0.24,8375,33269,0.25173585
E38000178,NHS Surrey Heath CCG,E10000030,Surrey,6681.260073,167007.2914,0.04,2412,33269,0.072499925
E38000214,NHS Guildford and Waverley CCG,E10000030,Surrey,53774.22659,167007.2914,0.32,6475,33269,0.194625627
E38000224,NHS East Berkshire CCG,E10000030,Surrey,923.4082837,167007.2914,0.01,249,33269,0.007484445
E38000038,NHS Coventry and Rugby CCG,E10000031,Warwickshire,35352.62371,197752.2658,0.18,2759,15793,0.174697651
E38000164,NHS South Warwickshire CCG,E10000031,Warwickshire,126066.4735,197752.2658,0.64,8555,15793,0.541695688
E38000195,NHS Warwickshire North CCG,E10000031,Warwickshire,36314.77293,197752.2658,0.18,4479,15793,0.283606661
E38000039,NHS Crawley CCG,E10000032,West Sussex,4496.474846,202346.3314,0.02,2647,25668,0.103124513
E38000083,NHS Horsham and Mid Sussex CCG,E10000032,West Sussex,58169.05557,202346.3314,0.29,6786,25668,0.264375877
E38000213,NHS Coastal West Sussex CCG,E10000032,West Sussex,139656.707,202346.3314,0.69,16234,25668,0.632460651
E38000166,NHS South Worcestershire CCG,E10000034,Worcestershire,127382.2411,174051.4193,0.73,8920,16645,0.535896666
E38000139,NHS Redditch and Bromsgrove CCG,E10000034,Worcestershire,27116.65205,174051.4193,0.16,4481,16645,0.269209973
E38000211,NHS Wyre Forest CCG,E10000034,Worcestershire,19537.25452,174051.4193,0.11,3244,16645,0.194893361
